tier;score;distance;vocab_id;vocab_type;vocab_label;vocab_lang;artwork_count;edm_uri;edm_pref_label;edm_alt_label;edm_all_alts;already_in_db;notes
5;0.863;4;311193493;organisation;Partai Nasional Indonesia;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.118260;Tentara Nasional Indonesia;TNI;TNI;false;fuzzy token_set=86.27450980392157, ratio=86.27450980392157
5;0.863;4;21059151;group;Partai Nasional Indonesia;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.118260;Tentara Nasional Indonesia;TNI;TNI;false;fuzzy token_set=86.27450980392157, ratio=86.27450980392157
5;0.862;2;311192245;organisation;Rees, Pieter van;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.58933;Rees, Etie van;Rees, Ecoline Adrienne van;"Rees, Ecoline Adrienne van; Rees, Eetie van";false;fuzzy token_set=85.71428571428571, ratio=86.66666666666667
5;0.862;2;311192245;organisation;Rees, Pieter van;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.58933;Rees, Etie van;Rees, Eetie van;"Rees, Ecoline Adrienne van; Rees, Eetie van";false;fuzzy token_set=85.71428571428571, ratio=86.66666666666667
5;0.867;2;31199412;organisation;Sabin Galleries;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.86050;Swann Galleries;Galleries, Swann;Galleries, Swann;false;fuzzy token_set=86.66666666666667, ratio=86.66666666666667
5;0.861;3;311190580;organisation;Sande, Jeroen van de;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.11202;Sande, Jan van de;Sande, Johannes van den;Sande, Johannes van den;false;fuzzy token_set=85.71428571428571, ratio=86.48648648648648
5;0.863;2;311105883;organisation;Singer, von;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.149602;Singer, Ödön;Singer, Edmund;Singer, Edmund;false;fuzzy token_set=85.71428571428571, ratio=86.95652173913044
5;0.864;3;210140519;group;Universiteit van Luik;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.94770;Universiteit van Leuven;Katholieke Universiteit van Leuven;"Katholieke Universiteit van Leuven; Université Catholique de Louvain; Universiteit van Leuven, Katholieke";false;fuzzy token_set=86.48648648648648, ratio=86.36363636363636
5;0.864;3;210140519;group;Universiteit van Luik;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.94770;Universiteit van Leuven;Université Catholique de Louvain;"Katholieke Universiteit van Leuven; Université Catholique de Louvain; Universiteit van Leuven, Katholieke";false;fuzzy token_set=86.48648648648648, ratio=86.36363636363636
5;0.864;3;210140519;group;Universiteit van Luik;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.94770;Universiteit van Leuven;Universiteit van Leuven, Katholieke;"Katholieke Universiteit van Leuven; Université Catholique de Louvain; Universiteit van Leuven, Katholieke";false;fuzzy token_set=86.48648648648648, ratio=86.36363636363636
5;0.863;8;311171519;organisation;Vereniging van Handelaren in Bouwmaterialen in Nederland;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.9221;Vereniging van Handelaren in Oude Kunst in Nederland;Handelaren in Oude Kunst in Nederland, Vereniging van;Handelaren in Oude Kunst in Nederland, Vereniging van;false;fuzzy token_set=87.35632183908046, ratio=85.18518518518519
5;0.950;2;311141638;organisation;Visscher, Cornelis;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.95013;Visscher, Cornelis (I);Visscher, Cornelis de (I);Visscher, Cornelis de (I);false;fuzzy token_set=100.0, ratio=90.0
5;0.939;3;311141638;organisation;Visscher, Cornelis;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.13240;Visscher, Cornelis (II);Visscher, Cornelis de (II);Visscher, Cornelis de (II);false;fuzzy token_set=100.0, ratio=87.8048780487805
